-17.250000, 6.250000, -13.125000
-17.166667, 6.541667, -13.041667
-17.041667, 6.666667, -13.041667
-17.250000, 6.416667, -13.083333
-17.208333, 5.916667, -13.291667
-17.041667, 6.166667, -13.375000
-17.333333, 6.333333, -13.333333
-17.125000, 6.125000, -13.041667
-17.125000, 6.250000, -13.000000
-17.125000, 6.083333, -13.041667
-17.125000, 6.333333, -13.041667
-17.125000, 6.208333, -12.750000
-17.250000, 6.333333, -13.166667
-16.833333, 6.333333, -13.000000
-17.125000, 6.458333, -13.166667
-17.291667, 6.333333, -13.375000
-17.583333, 6.458333, -13.333333
-17.166667, 6.291667, -12.958333
-17.083333, 6.416667, -13.083333
-17.208333, 6.333333, -12.833333
-17.333333, 6.375000, -13.125000
-17.333333, 6.333333, -13.208333
-17.333333, 6.458333, -12.875000
-17.375000, 6.291667, -13.208333
-17.333333, 6.250000, -13.208333
-17.375000, 6.166667, -13.416667
-17.625000, 6.166667, -13.458333
-17.291667, 6.125000, -13.166667
-17.416667, 6.375000, -13.166667
-17.375000, 6.375000, -12.958333
-17.375000, 6.333333, -13.166667
-16.916667, 6.333333, -12.916667
-17.166667, 5.833333, -12.500000
-16.666667, 5.458333, -12.291667
-15.916667, 4.250000, -11.833333
-14.333333, 2.416667, -11.083333
-13.791667, 2.333333, -11.666667
-13.416667, 3.625000, -11.041667
-13.041667, 4.958333, -10.500000
-12.583333, 6.208333, -10.041667
-12.291667, 6.791667, -9.583333
-12.291667, 8.375000, -10.000000
-13.083333, 9.375000, -10.708333
-13.416667, 8.625000, -10.875000
-14.166667, 7.833333, -12.458333
-15.166667, 6.750000, -13.833333
-15.333333, 6.375000, -12.958333
-15.083333, 6.375000, -13.500000
-15.250000, 5.750000, -14.500000
-14.625000, 5.583333, -14.166667
-13.625000, 4.875000, -13.666667
-12.833333, 5.166667, -14.291667
-11.708333, 6.583333, -13.875000
-11.458333, 7.500000, -13.458333
-10.583333, 9.333333, -13.750000
-9.375000, 9.833333, -12.625000
-8.583333, 9.833333, -11.500000
-7.833333, 8.833333, -10.875000
-7.666667, 8.458333, -10.333333
-7.833333, 6.916667, -10.291667
-8.708333, 6.541667, -10.958333
-9.583333, 6.583333, -10.666667
-10.083333, 5.541667, -9.500000
-10.000000, 5.458333, -9.291667
-10.791667, 4.833333, -10.083333
-11.208333, 3.833333, -10.083333
-11.208333, 3.208333, -11.625000
-14.125000, 3.500000, -12.791667
-14.916667, 2.916667, -12.291667
-15.000000, 2.291667, -13.041667
